,AIDA_WW_UCAW_LA_18062021.,Getting travel insurance:AIDA_WW_CAW_CB_07062021,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums:AIDA_WW_CAW_CB_07062021",Renting a car:AIDA_WW_CAW_CB_07062021,Hiring a tour guide:AIDA_WW_CAW_CB_07062021,Finding a 5* hotel:AIDA_WW_CAW_CB_07062021,Finding free accommodation via couch surfing website:AIDA_WW_CAW_CB_07062021,Buying a weekly ticket for public transport:AIDA_WW_CAW_CB_07062021,Getting free advice/maps from the local tourist organization:AIDA_WW_CAW_CB_07062021,Renting a bike from the street (public bicycle scheme):AIDA_WW_CAW_CB_07062021,Walking into the mayor’s office for a quick catch up:AIDA_WW_CAW_CB_07062021,AIDA_WW_UUBA_TB_18062021 ,Go City:AIDA_WW_ABA_IMS_07062021,CityPass:AIDA_WW_ABA_IMS_07062021,The Sightseeing Pass:AIDA_WW_ABA_IMS_07062021,iVenture Card:AIDA_WW_ABA_IMS_07062021,Turbopass:AIDA_WW_ABA_IMS_07062021,The New York Pass:AIDA_WW_ABA_IMS_07062021,Hopper Pass:AIDA_WW_ABA_IMS_07062021,Tour Pass:AIDA_WW_ABA_IMS_07062021,Zipper Pass:AIDA_WW_ABA_IMS_07062021,Go Las Vegas:AIDA_WW_ABA_IMS_07062021,Go Oahu:AIDA_WW_ABA_IMS_07062021,AIDA_WW_AWS_RB_14062021,Other:AIDA_WW_AWS_RB_14062021,Go City :AIDA_WW_BEX_CB_16082021,City Pass :AIDA_WW_BEX_CB_16082021,The Sightseeing Pass :AIDA_WW_BEX_CB_16082021,iVenture Card :AIDA_WW_BEX_CB_16082021,Turbopass :AIDA_WW_BEX_CB_16082021,The New York Pass :AIDA_WW_BEX_CB_16082021,Go City:AIDA_WW_BSAT_RBG_07062021,CityPass:AIDA_WW_BSAT_RBG_07062021,The Sightseeing Pass:AIDA_WW_BSAT_RBG_07062021,iVentureCard:AIDA_WW_BSAT_RBG_07062021,Turbopass:AIDA_WW_BSAT_RBG_07062021,The New York Pass:AIDA_WW_BSAT_RBG_07062021,Go City:AIDA_WW_BCON_RBG_07062021,CityPass:AIDA_WW_BCON_RBG_07062021,The Sightseeing Pass:AIDA_WW_BCON_RBG_07062021,iVenture Card:AIDA_WW_BCON_RBG_07062021,Turbopass:AIDA_WW_BCON_RBG_07062021,The New York Pass:AIDA_WW_BCON_RBG_07062021,AIDA_WW_PURCHI_RB_07062021,AIDA_WW_UCAW_LA_18062021._clean,AIDA_WW_UUBA_TB_18062021 _clean,AIDA_WW_UBA_TB_07062021_clean,I own a valid passport:SBEH_US_PASS_CB_07062021,I plan a leisure trip within the USA in the next two years:SBEH_US_PASS_CB_07062021,I plan a leisure trip abroad in the next two years:SBEH_US_PASS_CB_07062021,Boston:SBEH_US_TRINTUS_CB_14062021.,Chicago:SBEH_US_TRINTUS_CB_14062021.,Las Vegas:SBEH_US_TRINTUS_CB_14062021.,Los Angeles:SBEH_US_TRINTUS_CB_14062021.,Miami:SBEH_US_TRINTUS_CB_14062021.,New Orleans:SBEH_US_TRINTUS_CB_14062021.,New York:SBEH_US_TRINTUS_CB_14062021.,Oahu:SBEH_US_TRINTUS_CB_14062021.,Orlando:SBEH_US_TRINTUS_CB_14062021.,Philadelphia:SBEH_US_TRINTUS_CB_14062021.,San Antonio:SBEH_US_TRINTUS_CB_14062021.,San Diego:SBEH_US_TRINTUS_CB_14062021.,San Francisco:SBEH_US_TRINTUS_CB_14062021.,Washington DC:SBEH_US_TRINTUS_CB_14062021.,Bangkok:SBEH_US_TRINTWW_CB_14062021,Dubai:SBEH_US_TRINTWW_CB_14062021,Hong Kong:SBEH_US_TRINTWW_CB_14062021,Shanghai:SBEH_US_TRINTWW_CB_14062021,Singapore:SBEH_US_TRINTWW_CB_14062021,Cancun:SBEH_US_TRINTWW_CB_14062021,Barcelona:SBEH_US_TRINTWW_CB_14062021,Berlin:SBEH_US_TRINTWW_CB_14062021,Dublin:SBEH_US_TRINTWW_CB_14062021,Gothenburg:SBEH_US_TRINTWW_CB_14062021,Helsinki:SBEH_US_TRINTWW_CB_14062021,London:SBEH_US_TRINTWW_CB_14062021,Madrid:SBEH_US_TRINTWW_CB_14062021,Paris:SBEH_US_TRINTWW_CB_14062021,Rome:SBEH_US_TRINTWW_CB_14062021,Stockholm:SBEH_US_TRINTWW_CB_14062021,Vienna:SBEH_US_TRINTWW_CB_14062021,SBEH_WW_TRFREQ_RB_07062021,SBEH_WW_AVTRIP_RB_07062021,Beach or seaside resort:SBEH_WW_DESTTYPE_CB_07062021,Mountain or alpine resort:SBEH_WW_DESTTYPE_CB_07062021,City or Metropolis:SBEH_WW_DESTTYPE_CB_07062021,Culturally/Spiritually significant place:SBEH_WW_DESTTYPE_CB_07062021,Rural or countryside locales:SBEH_WW_DESTTYPE_CB_07062021,Niche or extreme destinations (e.g. Antarctica):SBEH_WW_DESTTYPE_CB_07062021,Something else:SBEH_WW_DESTTYPE_CB_07062021,Hotel:SBEH_WW_STAYTYPE_CB_07062021,Luxury resort:SBEH_WW_STAYTYPE_CB_07062021,Airbnb / privately rented accommodations:SBEH_WW_STAYTYPE_CB_07062021,Youth hostel:SBEH_WW_STAYTYPE_CB_07062021,Relative or friend’s house:SBEH_WW_STAYTYPE_CB_07062021,Campsite:SBEH_WW_STAYTYPE_CB_07062021,Somewhere else:SBEH_WW_STAYTYPE_CB_07062021
693,"I would pre-book airfare, transfers to and from a hotel, a hotel itself, and possibly some sightseeing tours.  Also might prebook theatre tickets",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"aarp/expedia, travelocity, viator, kayak, hotels.com, ihgrewards, trivago",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"i would pre-book airfare, transfers to and from a hotel, a hotel itself, and possibly some sightseeing tours.  also might prebook theatre tickets","aarp/expedia, travelocity, viator, kayak, hotels.com, ihgrewards, trivago",viator,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,San Diego,San Francisco,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,Between 1 and 2 weeks,NoAnswer,Mountain or alpine resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Something else,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhere else
694,"A hotel, a car, and possibly a tour",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"trip advisor, expedia",NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Neither likely nor unlikely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,"a hotel, a car, and possibly a tour","trip advisor, expedia","trip advisor, expedia",I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,5-6 days,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
695,"Hotel, rental car, tours",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"Expedia, AAA",Go City,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Google search,NoAnswer,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,"hotel, rental car, tours","expedia, aaa",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,San Diego,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
696,Plane Hotel Car,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,American Airlines Holiday Inn Hertz,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,None. I am very unlikely to buy a leisure pass,plane hotel car,american airlines holiday inn hertz,disney,I own a valid passport,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,4 days or fewer,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
697,"Flight, hotel, rental car, tours and dinner reservations. ",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Kayak.com, hotels.com, priceline.com",Go City,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Travel website/app,NoAnswer,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,"flight, hotel, rental car, tours and dinner reservations. ","kayak.com, hotels.com, priceline.com",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,No rules,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
698,I couldn't make this type of trip because I'm housebound. But I would start with the hotel and some cities have discount passes and I'd look into it.,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"I've been to NY and Paris, but it was too long ago to remember the names of the brands. Sorry.",NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Very unlikely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,None. I am very unlikely to buy a leisure pass,i couldn't make this type of trip because i'm housebound. but i would start with the hotel and some cities have discount passes and i'd look into it.,"i've been to ny and paris, but it was too long ago to remember the names of the brands. sorry.","i don't remember, sorry.",NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,4 days or fewer,NoAnswer,Mountain or alpine resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
699,"Airline ticket, hotel stay, car rental",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Visa, Mastercard, discover, hurts, Alamo rental, budget car rental, enterprise is enterprise, orbit's, Expedia, booking.com",NoAnswer,NoAnswer,NoAnswer,NoAnswer,Turbopass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,NoAnswer,I am not sure / I will decide on the spot,"airline ticket, hotel stay, car rental","visa, mastercard, discover, hurts, alamo rental, budget car rental, enterprise is enterprise, orbit's, expedia, booking.com","disney, universal studios, busch gardens and sea world and legoland",NoAnswer,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Helsinki,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,5-6 days,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Something else,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
700,"Hotel, transportation, return trip",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Booking.com,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,None. I am very unlikely to buy a leisure pass,"hotel, transportation, return trip",booking.com,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,No rules,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Something else,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
701,"airline, hotel, sightseeing tour, major art or museum exhibits",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"AAA, Trivago",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"airline, hotel, sightseeing tour, major art or museum exhibits","aaa, trivago",aaa,I own a valid passport,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,4 days or fewer,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
702,Room 3 - 1920's Style in Historic Victorian Home,NoAnswer,NoAnswer,Renting a car,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"airbnb, expedia",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,room 3 - 1920's style in historic victorian home,"airbnb, expedia",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,Los Angeles,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,Between 1 and 2 weeks,NoAnswer,Mountain or alpine resort,NoAnswer,Culturally/Spiritually significant place,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
703,hotel reservation,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hilton ,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,None. I am very unlikely to buy a leisure pass,hotel reservation,hilton ,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,Las Vegas,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,San Antonio,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,Between 1 and 2 weeks,Beach or seaside resort,Mountain or alpine resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
704,"If I was going to one of those places for travel I would pre-book my ways of travel, like an airplane ticket bus ticket or train ticket, I would always pre-book where I am going to be staying. Like a hotel or a air B&B. I would also pre-book restaurants to make sure I am able to eat at a place if I've heard good reviews and also any activities I would be doing.",NoAnswer,NoAnswer,Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,None,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"if i was going to one of those places for travel i would pre-book my ways of travel, like an airplane ticket bus ticket or train ticket, i would always pre-book where i am going to be staying. like a hotel or a air b&b. i would also pre-book restaurants to make sure i am able to eat at a place if i've heard good reviews and also any activities i would be doing.",none,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,4 days or fewer,NoAnswer,Mountain or alpine resort,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
705,Transportation mode to and from Transportation within the city Hotel Sightseeing possibilities Possibly restaurant reservations if in a highly sought eating place,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,Finding free accommodation via couch surfing website,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"United Airlines Marriott, Hyatt, Hilton Hotels",NoAnswer,CityPass,The Sightseeing Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,transportation mode to and from transportation within the city hotel sightseeing possibilities possibly restaurant reservations if in a highly sought eating place,"united airlines marriott, hyatt, hilton hotels",city pass,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,Between 1 and 2 weeks,NoAnswer,NoAnswer,City or Metropolis,Culturally/Spiritually significant place,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
706,"I'd book my hotel, airfare/train as well as tickets to any main attractions.",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,no brands come to mind,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"i'd book my hotel, airfare/train as well as tickets to any main attractions.",no brands come to mind,NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,4 days or fewer,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
707,I would book a room and any excursions I wanted to see.  Food and transportation would depend on where I went.,Getting travel insurance,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Buying a weekly ticket for public transport,NoAnswer,NoAnswer,NoAnswer,None,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,i would book a room and any excursions i wanted to see.  food and transportation would depend on where i went.,none,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,Between 1 and 2 weeks,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Something else,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhere else
